傷・汚れ詳細|||Flaws and stains|||破损与污渍详情
採寸データ|||Measurement data|||尺寸数据
商品情報|||Item details|||商品信息
商品情報が見つかりません|||Item details not found|||未找到商品信息
追加情報はありません|||No additional details|||没有更多信息
🔍 ホバーで拡大|||🔍 Hover to zoom|||🔍 悬停放大
タップで拡大|||Tap to zoom|||点击放大
この商品に似た商品|||Similar items|||相似商品
𝕏 シェア|||𝕏 Share|||𝕏 分享
URLコピー|||Copy URL|||复制链接
アソートページで詳細を見る →|||See details on the Assort page →|||在混装批发页面查看详情 →
注文履歴はまだありません|||No orders yet|||还没有订单记录
最高ランクに到達しています|||You have reached the top rank|||您已达到最高等级
デタウリ空|||Clear Detauri|||清空 Detauri
アソート空|||Clear Assort|||清空混装批发
すべて空|||Clear all|||全部清空
商品がありません|||No items|||没有商品
画像なし|||No image|||无图片
沖縄県は送料無料対象外|||Okinawa is not eligible for free shipping|||冲绳县不适用免运费
初回50%OFF適用中は送料無料対象外|||Not eligible for free shipping during the first-order 50% OFF|||首单5折期间不适用免运费
メルマガ配信停止のご確認|||Confirm newsletter unsubscribe|||确认取消邮件订阅
配信を停止すると、以下の情報が届かなくなります|||If you unsubscribe, you will no longer receive|||取消订阅后，您将不再收到以下信息
新着商品の入荷情報|||New arrival alerts|||新品到货信息
— 人気ブランドの入荷をいち早くお届け|||- Hear about popular brands as soon as they arrive|||— 第一时间通知热门品牌到货
会員限定クーポン・セール情報|||Member-only coupons and sales|||会员专属优惠券与促销信息
— メルマガ読者だけの特別割引|||- Special discounts only for newsletter readers|||— 仅限邮件订阅者的特别折扣
在庫サマリー|||Stock summary|||库存汇总
— ブランド別の在庫状況を毎月お届け|||- Monthly stock levels by brand|||— 每月发送各品牌的库存状况
メルマガを続ける|||Keep the newsletter|||继续订阅
配信を停止する|||Unsubscribe|||取消订阅
配信停止が完了しました|||You have been unsubscribed|||已完成取消订阅
メルマガの配信を停止しました。|||You have been unsubscribed from the newsletter.|||已取消邮件订阅。
再度ご希望の際は、マイページから設定を変更できます。|||If you want it back, you can change the setting from My page.|||如需重新订阅，可在我的页面更改设置。
サイトに戻る|||Back to the site|||返回网站
スタッフへのお問い合わせ|||Contact our staff|||联系工作人员
内容を入力して送信してください。2営業日以内にメールでご返信いたします。|||Write your message and send it. We reply by email within 2 business days.|||请填写内容后发送。我们将在2个工作日内通过邮件回复。
✉ お問い合わせ|||✉ Contact us|||✉ 联系我们
